index,solvent_cid,solvent_name,solvent_name_plot,solvent_smiles,MW,dens,solvent_bp
0,263,butan-1-ol,$n$-Butanol,CCCCO,74.12,0.81,117.7
1,8076,2-ethoxyethanol,2-Ethoxyethanol,CCOCCO,90.12,0.9253,135.0
2,31374,"N,N-dimethylacetamide","N,N-Dimethylacetamide",CC(=O)N(C)C,87.12,0.9366,165.0
3,12051,"N,N-diethylformamide","N,N-Diethylformamide",CCN(CC)C=O,101.15,0.908,177.5
4,31254,N-methylformamide,N-Methylformamide,CNC=O,59.07,0.9961,182.5
5,1049,pyridine,Pyridine,C1=CC=NC=C1,79.1,0.98272,115.2
6,7964,chlorobenzene,Chlorobenzene,C1=CC=C(C=C1)Cl,112.55,1.1058,131.6
7,7966,cyclohexanol,Cyclohexanol,C1CCC(CC1)O,100.16,0.9624,160.8
8,6560,2-methylpropan-1-ol,$i$-Butanol,CC(C)CO,74.12,0.8018,108.0
9,679,methylsulfinylmethane,Methylsulfinylmethane,CS(=O)C,78.14,1.1,189.0
10,31275,"1,4-dioxane","1,4-Dioxane",C1COCCO1,88.11,1.0337,101.2
11,174,"ethane-1,2-diol",Ethylene glycol,C(CO)O,62.07,1.1135,197.3
12,8113,2-(2-hydroxyethylamino)ethanol,2-(2-Hydroxyethylamino)ethanol,C(CO)NCCO,105.14,1.0966,268.8
13,180,propan-2-one,Acetone,CC(=O)C,58.08,0.7845,56.08
14,949,"N,N-dimethylaniline","N,N-Dimethylaniline",CN(C)C1=CC=CC=C1,121.18,0.9537,193.45
15,702,ethanol,Ethanol,CCO,46.07,0.7893,78.2
16,3776,propan-2-ol,$i$-Propanol,CC(C)O,60.1,0.78509,82.3
17,962,H2O,Water,O,18.015,0.995,99.974
18,6212,chloroform,Chloroform,C(Cl)(Cl)Cl,119.37,1.4788,61.12
19,7237,"1,2-xylene",$o$-Xylene,CC1=CC=CC=C1C,106.16,0.8801,144.5
20,6342,acetonitrile,Acetonitrile,CC#N,41.05,0.787,81.6
21,6344,dichloromethane,Dichloromethane,C(Cl)Cl,84.93,1.3255,39.75
22,13387,1-methylpyrrolidin-2-one,1-Methylpyrrolidin-2-one,CN1CCCC1=O,99.13,1.027,202.0
23,6228,"N,N-dimethylformamide","N,N-dimethylformamide",CN(C)C=O,73.09,0.9445,152.8
24,7896,"butane-1,3-diol","Butane-1,3-diol",CC(CCO)O,90.12,1.0053,207.5
25,8028,THF,THF,C1CCOC1,72.11,0.8833,65.0
26,81646,"1,3-dimethyl-1,3-diazinan-2-one","1,3-Dimethyl-1,3-diazinan-2-one",CN1CCCN(C1=O)C,128.17,1.06,246.5
27,241,benzene,Benzene,C1=CC=CC=C1,78.11,0.8756,80.08
28,22129,2-aminobutan-1-ol,2-Aminobutan-1-ol,CCC(CO)N,89.14,0.943,177.0
29,1140,toluene,Toluene,CC1=CC=CC=C1,92.14,0.8623,110.6
30,887,methanol,Methanol,CO,32.042,0.7866,64.7
